@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %08s "SWISSFEL"
@ PARTICLE         %08s "ELECTRON"
@ MASS             %le     0.0005109989461
@ CHARGE           %le                  -1
@ ENERGY           %le         5960.050657
@ PC               %le         5960.050657
@ GAMMA            %le         11663528.28
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le              0.0001
@ SIGT             %le               0.001
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         163.3883264
@ ALFA             %le                   0
@ ORBIT5           %le                  -0
@ GAMMATR          %le                   0
@ Q1               %le         4.058172996
@ Q2               %le         3.921747233
@ DQ1              %le                   0
@ DQ2              %le                   0
@ DXMAX            %le        0.1648582012
@ DYMAX            %le        0.1405799996
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         304.5016335
@ BETYMAX          %le          94.7236671
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le       0.04757122278
@ DYRMS            %le      0.009357156244
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %16s "5.05.02 Linux 64"
@ DATE             %08s "27/05/21"
@ TIME             %08s "09.23.24"
* NAME                                S               RE11               RE12               RE13               RE14               RE16               RE31               RE32               RE33               RE34               RE36 
$ %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le 
 "DRIFT_12"                      11.575        1.292877949        13.75135584                  0                  0                  0                  0                  0       0.7078418098        9.403960051                  0
 "SARCL01.DBPM060.MARK"              11.575        1.292877949        13.75135584                  0                  0                  0                  0                  0       0.7078418098        9.403960051                  0
 "DRIFT_13"                      11.625        1.296405756        13.82755184                  0                  0                  0                  0                  0       0.7043199216        9.427807616                  0
 "SARCL01.DBPM060$END"              11.625        1.296405756        13.82755184                  0                  0                  0                  0                  0       0.7043199216        9.427807616                  0
 "SARCL01.MCOR070$START"              11.625        1.296405756        13.82755184                  0                  0                  0                  0                  0       0.7043199216        9.427807616                  0
 "DRIFT_14"                      11.675        1.299933563        13.90374784                  0                  0                  0                  0                  0       0.7007980334        9.451655182                  0
 "SARCL01.MCOR070.CXY"              11.875        1.314044791        14.20853184                  0                  0                  0                  0                  0       0.6867104804        9.547045442                  0
 "DRIFT_15"                      11.925        1.317572598        14.28472784                  0                  0                  0                  0                  0       0.6831885922        9.570893008                  0
 "SARCL01.MCOR070$END"              11.925        1.317572598        14.28472784                  0                  0                  0                  0                  0       0.6831885922        9.570893008                  0
 "DRIFT_16"                      12.125        1.331683826        14.58951185                  0                  0                  0                  0                  0       0.6691010392        9.666283268                  0
 "SARCL01.MQUA080$START"              12.125        1.331683826        14.58951185                  0                  0                  0                  0                  0       0.6691010392        9.666283268                  0
 "SARCL01.MQUA080"               12.425        1.377365908        15.31664261                  0                  0                  0                  0                  0       0.6359196317        9.632561572                  0
 "SARCL01.MQUA080$END"              12.425        1.377365908        15.31664261                  0                  0                  0                  0                  0       0.6359196317        9.632561572                  0
